Date,Value
12/1/2011,"1,656.40"
11/1/2011,"1,726.10"
10/1/2011,"1,676.00"
9/1/2011,"1,723.10"
8/1/2011,"1,725.75"
7/1/2011,"1,565.25"
6/1/2011,"1,519.00"
4/1/2011,"1,494.70"
3/1/2011,"1,427.10"
2/1/2011,"1,371.20"
1/1/2011,"1,374.70"
12/1/2010,"1,403.95"
11/1/2010,"1,372.65"
10/1/2010,"1,333.05"
9/1/2010,"1,277.05"
7/1/2010,"1,194.00"
6/1/2010,"1,235.15"
5/1/2010,"1,195.40"
4/1/2010,"1,152.60"
3/1/2010,"1,116.30"
2/1/2010,"1,099.65"
1/1/2010,"1,100.35"
12/1/2009,"1,138.10"
10/1/2009,"1,023.55"
9/1/2009,981.10
8/1/2009,952.15
7/1/2009,941.50
6/1/2009,952.95
5/1/2009,931.40
4/1/2009,904.65
1/1/2009,904.40
12/1/2008,850.40
11/1/2008,772.50
10/1/2008,797.40
9/1/2008,852.05
8/1/2008,867.10
7/1/2008,928.75
5/1/2008,871.15
4/1/2008,888.90
3/1/2008,950.20
2/1/2008,948.45
1/1/2008,885.70
12/1/2007,809.40
11/1/2007,783.75
10/1/2007,768.55
9/1/2007,707.65
8/1/2007,668.10
6/1/2007,654.80
5/1/2007,667.35
3/1/2007,668.00
2/1/2007,661.15
1/1/2007,643.60
12/1/2006,640.45
11/1/2006,629.70
9/1/2006,611.50
8/1/2006,630.65
7/1/2006,632.60
6/1/2006,628.15
5/1/2006,650.25
4/1/2006,616.90
3/1/2006,572.15
2/1/2006,566.20
12/1/2005,505.65
11/1/2005,478.80
10/1/2005,466.45
9/1/2005,453.75
8/1/2005,431.90
7/1/2005,428.85
6/1/2005,426.15
4/1/2005,431.65
3/1/2005,431.85
2/1/2005,429.35
1/1/2005,426.40
12/1/2004,444.55
11/1/2004,439.30
10/1/2004,423.80
9/1/2004,413.00
7/1/2004,393.50
6/1/2004,393.25
5/1/2004,390.50
4/1/2004,407.10
3/1/2004,411.85
1/1/2004,408.95
12/1/2003,406.45
11/1/2003,389.80
10/1/2003,385.00
9/1/2003,380.20
8/1/2003,364.90
7/1/2003,352.70
5/1/2003,351.75
4/1/2003,337.55
3/1/2003,342.55
2/1/2003,359.10
1/1/2003,357.20
11/1/2002,317.80
10/1/2002,320.00
8/1/2002,307.80
7/1/2002,308.60
6/1/2002,320.05
5/1/2002,317.80
4/1/2002,305.75
3/1/2002,300.30
2/1/2002,289.50
1/1/2002,280.50
12/1/2001,276.10
11/1/2001,276.80
10/1/2001,285.65
9/1/2001,282.00
8/1/2001,270.30
6/1/2001,267.65
5/1/2001,264.85
3/1/2001,261.55
2/1/2001,266.55
1/1/2001,267.00
12/1/2000,270.85
11/1/2000,267.00
9/1/2000,275.30
