Date,SP500,Gold
09/01/1888,5.38,18.94
10/01/1888,5.35,18.94
11/01/1888,5.24,18.94
12/01/1888,5.14,18.94
01/01/1889,5.24,18.93
02/01/1889,5.3,18.93
03/01/1889,5.19,18.93
04/01/1889,5.18,18.93
05/01/1889,5.32,18.93
06/01/1889,5.41,18.93
07/01/1889,5.3,18.93
08/01/1889,5.37,18.93
09/01/1889,5.5,18.93
10/01/1889,5.4,18.93
11/01/1889,5.35,18.93
12/01/1889,5.32,18.93
01/01/1890,5.38,18.94
02/01/1890,5.32,18.94
03/01/1890,5.28,18.94
04/01/1890,5.39,18.94
05/01/1890,5.62,18.94
06/01/1890,5.58,18.94
07/01/1890,5.54,18.94
08/01/1890,5.41,18.94
09/01/1890,5.32,18.94
10/01/1890,5.08,18.94
11/01/1890,4.71,18.94
12/01/1890,4.6,18.94
01/01/1891,4.84,18.96
02/01/1891,4.9,18.96
03/01/1891,4.81,18.96
04/01/1891,4.97,18.96
05/01/1891,4.95,18.96
06/01/1891,4.85,18.96
07/01/1891,4.77,18.96
08/01/1891,4.93,18.96
09/01/1891,5.33,18.96
10/01/1891,5.33,18.96
11/01/1891,5.25,18.96
12/01/1891,5.41,18.96
01/01/1892,5.51,18.96
02/01/1892,5.52,18.96
03/01/1892,5.58,18.96
04/01/1892,5.57,18.96
05/01/1892,5.57,18.96
06/01/1892,5.54,18.96
07/01/1892,5.54,18.96
08/01/1892,5.62,18.96
09/01/1892,5.48,18.96
10/01/1892,5.59,18.96
11/01/1892,5.57,18.96
12/01/1892,5.51,18.96
01/01/1893,5.61,18.96
02/01/1893,5.51,18.96
03/01/1893,5.31,18.96
04/01/1893,5.31,18.96
05/01/1893,4.84,18.96
06/01/1893,4.61,18.96
07/01/1893,4.18,18.96
08/01/1893,4.08,18.96
09/01/1893,4.37,18.96
10/01/1893,4.5,18.96
11/01/1893,4.57,18.96
12/01/1893,4.41,18.96
01/01/1894,4.32,18.94
02/01/1894,4.38,18.94
03/01/1894,4.51,18.94
04/01/1894,4.57,18.94
05/01/1894,4.4,18.94
06/01/1894,4.34,18.94
07/01/1894,4.25,18.94
08/01/1894,4.41,18.94
09/01/1894,4.48,18.94
10/01/1894,4.34,18.94
11/01/1894,4.34,18.94
12/01/1894,4.3,18.94
01/01/1895,4.25,18.93
02/01/1895,4.19,18.93
03/01/1895,4.19,18.93
04/01/1895,4.37,18.93
05/01/1895,4.61,18.93
06/01/1895,4.7,18.93
07/01/1895,4.72,18.93
08/01/1895,4.79,18.93
09/01/1895,4.82,18.93
10/01/1895,4.75,18.93
11/01/1895,4.59,18.93
12/01/1895,4.32,18.93
01/01/1896,4.27,18.98
02/01/1896,4.45,18.98
03/01/1896,4.38,18.98
04/01/1896,4.42,18.98
05/01/1896,4.4,18.98
06/01/1896,4.32,18.98
07/01/1896,4.04,18.98
08/01/1896,3.81,18.98
09/01/1896,4.01,18.98
10/01/1896,4.1,18.98
11/01/1896,4.38,18.98
12/01/1896,4.22,18.98
01/01/1897,4.22,18.98
02/01/1897,4.18,18.98
03/01/1897,4.19,18.98
04/01/1897,4.06,18.98
05/01/1897,4.08,18.98
06/01/1897,4.27,18.98
07/01/1897,4.46,18.98
08/01/1897,4.75,18.98
09/01/1897,4.98,18.98
10/01/1897,4.82,18.98
11/01/1897,4.65,18.98
12/01/1897,4.75,18.98
01/01/1898,4.88,18.98
02/01/1898,4.87,18.98
03/01/1898,4.65,18.98
04/01/1898,4.57,18.98
05/01/1898,4.87,18.98
06/01/1898,5.06,18.98
07/01/1898,5.08,18.98
08/01/1898,5.27,18.98
09/01/1898,5.26,18.98
10/01/1898,5.15,18.98
11/01/1898,5.32,18.98
12/01/1898,5.65,18.98
01/01/1899,6.08,18.94
02/01/1899,6.31,18.94
03/01/1899,6.4,18.94
04/01/1899,6.48,18.94
05/01/1899,6.21,18.94
06/01/1899,6.07,18.94
07/01/1899,6.28,18.94
08/01/1899,6.44,18.94
